Full Name,Owner,Repo,Description,Stars,Language,Updated,Repo URL,User URL,Labels
"n8n-io/n8n-io","n8n-io","n8n-io","Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations.","165k","TypeScript","Dec 24, 2025, 5:36 PM GMT-5","https://github.com/n8n-io/n8n-io","https://github.com/n8n-io","[{""text"":""cli"",""url"":""https://github.com/topics/cli""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""integrations"",""url"":""https://github.com/topics/integrations""},{""text"":""development"",""url"":""https://github.com/topics/development""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""data-flow"",""url"":""https://github.com/topics/data-flow""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""ipaas"",""url"":""https://github.com/topics/ipaas""},{""text"":""apis"",""url"":""https://github.com/topics/apis""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""integration-framework"",""url"":""https://github.com/topics/integration-framework""},{""text"":""n8n"",""url"":""https://github.com/topics/n8n""},{""text"":""low-code-platform"",""url"":""https://github.com/topics/low-code-platform""},{""text"":""mcp-server"",""url"":""https://github.com/topics/mcp-server""},{""text"":""mcp-client"",""url"":""https://github.com/topics/mcp-client""}]"
"langgenius/langgenius","langgenius","langgenius","Production-ready platform for agentic workflow development.","123k","TypeScript","Dec 25, 2025, 9:20 AM GMT-5","https://github.com/langgenius/langgenius","https://github.com/langgenius","[{""text"":""python"",""url"":""https://github.com/topics/python""},{""text"":""agent"",""url"":""https://github.com/topics/agent""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""nextjs"",""url"":""https://github.com/topics/nextjs""},{""text"":""orchestration"",""url"":""https://github.com/topics/orchestration""},{""text"":""gemini"",""url"":""https://github.com/topics/gemini""},{""text"":""openai"",""url"":""https://github.com/topics/openai""},{""text"":""gpt"",""url"":""https://github.com/topics/gpt""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""rag"",""url"":""https://github.com/topics/rag""},{""text"":""gpt-4"",""url"":""https://github.com/topics/gpt-4""},{""text"":""llm"",""url"":""https://github.com/topics/llm""},{""text"":""genai"",""url"":""https://github.com/topics/genai""},{""text"":""agentic-framework"",""url"":""https://github.com/topics/agentic-framework""},{""text"":""agentic-workflow"",""url"":""https://github.com/topics/agentic-workflow""},{""text"":""agentic-ai"",""url"":""https://github.com/topics/agentic-ai""}]"
"nocodb/nocodb","nocodb","nocodb","🔥 🔥 🔥 Open Source Airtable Alternative","59.2k","TypeScript","Dec 24, 2025, 9:44 AM GMT-5","https://github.com/nocodb/nocodb","https://github.com/nocodb","[{""text"":""rest-api"",""url"":""https://github.com/topics/rest-api""},{""text"":""sqlite"",""url"":""https://github.com/topics/sqlite""},{""text"":""postgresql"",""url"":""https://github.com/topics/postgresql""},{""text"":""swagger"",""url"":""https://github.com/topics/swagger""},{""text"":""spreadsheet"",""url"":""https://github.com/topics/spreadsheet""},{""text"":""airtable"",""url"":""https://github.com/topics/airtable""},{""text"":""restful-api"",""url"":""https://github.com/topics/restful-api""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""automatic-api"",""url"":""https://github.com/topics/automatic-api""},{""text"":""no-code-platform"",""url"":""https://github.com/topics/no-code-platform""},{""text"":""no-code-database"",""url"":""https://github.com/topics/no-code-database""},{""text"":""airtable-alternative"",""url"":""https://github.com/topics/airtable-alternative""}]"
"FlowiseAI/FlowiseAI","FlowiseAI","FlowiseAI","Build AI Agents, Visually","47.6k","TypeScript","Dec 23, 2025, 2:22 PM GMT-5","https://github.com/FlowiseAI/FlowiseAI","https://github.com/FlowiseAI","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""chatbot"",""url"":""https://github.com/topics/chatbot""},{""text"":""artificial-intelligence"",""url"":""https://github.com/topics/artificial-intelligence""},{""text"":""openai"",""url"":""https://github.com/topics/openai""},{""text"":""multiagent-systems"",""url"":""https://github.com/topics/multiagent-systems""},{""text"":""agents"",""url"":""https://github.com/topics/agents""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""rag"",""url"":""https://github.com/topics/rag""},{""text"":""large-language-models"",""url"":""https://github.com/topics/large-language-models""},{""text"":""chatgpt"",""url"":""https://github.com/topics/chatgpt""},{""text"":""langchain"",""url"":""https://github.com/topics/langchain""},{""text"":""agentic-workflow"",""url"":""https://github.com/topics/agentic-workflow""},{""text"":""agentic-ai"",""url"":""https://github.com/topics/agentic-ai""}]"
"jeecgboot/jeecgboot","jeecgboot","jeecgboot","🔥AI low-code platform empowers enterprises to quickly develop low-code solutions and build AI applications. 助力企业快速实现低代码开发和构建AI应用！ AI应用平台涵盖：AI应用、AI模型、AI聊天助手、知识库、AI流程编排、MCP和插件，聊天式业务操作等。 强大代码生成器：实现前后端一键生成，无需手写代码! 显著提升效率节省成本，又不失灵活~","44.8k","Java","Dec 24, 2025, 5:27 AM GMT-5","https://github.com/jeecgboot/jeecgboot","https://github.com/jeecgboot","[{""text"":""agent"",""url"":""https://github.com/topics/agent""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""mcp"",""url"":""https://github.com/topics/mcp""},{""text"":""codegenerator"",""url"":""https://github.com/topics/codegenerator""},{""text"":""antd"",""url"":""https://github.com/topics/antd""},{""text"":""springboot"",""url"":""https://github.com/topics/springboot""},{""text"":""activiti"",""url"":""https://github.com/topics/activiti""},{""text"":""mybatis-plus"",""url"":""https://github.com/topics/mybatis-plus""},{""text"":""springcloud"",""url"":""https://github.com/topics/springcloud""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""flowable"",""url"":""https://github.com/topics/flowable""},{""text"":""rag"",""url"":""https://github.com/topics/rag""},{""text"":""aiflow"",""url"":""https://github.com/topics/aiflow""},{""text"":""vue3"",""url"":""https://github.com/topics/vue3""},{""text"":""ant-design-vue"",""url"":""https://github.com/topics/ant-design-vue""},{""text"":""springboot3"",""url"":""https://github.com/topics/springboot3""},{""text"":""llm"",""url"":""https://github.com/topics/llm""},{""text"":""langchain4j"",""url"":""https://github.com/topics/langchain4j""},{""text"":""spring-ai"",""url"":""https://github.com/topics/spring-ai""},{""text"":""deepseek"",""url"":""https://github.com/topics/deepseek""}]"
"appsmithorg/appsmithorg","appsmithorg","appsmithorg","Platform to build admin panels, internal tools, and dashboards. Integrates with 25+ databases and any API.","38.7k","TypeScript","Dec 24, 2025, 6:33 PM GMT-5","https://github.com/appsmithorg/appsmithorg","https://github.com/appsmithorg","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""gui"",""url"":""https://github.com/topics/gui""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""admin-dashboard"",""url"":""https://github.com/topics/admin-dashboard""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""gui-application"",""url"":""https://github.com/topics/gui-application""},{""text"":""developer-tools"",""url"":""https://github.com/topics/developer-tools""},{""text"":""workflows"",""url"":""https://github.com/topics/workflows""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""webdevelopment"",""url"":""https://github.com/topics/webdevelopment""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""app-builder"",""url"":""https://github.com/topics/app-builder""},{""text"":""admin-panels"",""url"":""https://github.com/topics/admin-panels""},{""text"":""custom-internal"",""url"":""https://github.com/topics/custom-internal""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""}]"
"ToolJet/ToolJet","ToolJet","ToolJet","ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀","37.1k","JavaScript","Dec 24, 2025, 8:40 AM GMT-5","https://github.com/ToolJet/ToolJet","https://github.com/ToolJet","[{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""docker"",""url"":""https://github.com/topics/docker""},{""text"":""kubernetes"",""url"":""https://github.com/topics/kubernetes""},{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""reactjs"",""url"":""https://github.com/topics/reactjs""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""web-development-tools"",""url"":""https://github.com/topics/web-development-tools""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""internal-applications"",""url"":""https://github.com/topics/internal-applications""},{""text"":""internal-tool"",""url"":""https://github.com/topics/internal-tool""},{""text"":""internal-project"",""url"":""https://github.com/topics/internal-project""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""low-code-framework"",""url"":""https://github.com/topics/low-code-framework""},{""text"":""ai-app-builder"",""url"":""https://github.com/topics/ai-app-builder""}]"
"roboflow/roboflow","roboflow","roboflow","We write your reusable computer vision tools. 💜","36.2k","Python","Dec 22, 2025, 12:34 PM GMT-5","https://github.com/roboflow/roboflow","https://github.com/roboflow","[{""text"":""python"",""url"":""https://github.com/topics/python""},{""text"":""tracking"",""url"":""https://github.com/topics/tracking""},{""text"":""machine-learning"",""url"":""https://github.com/topics/machine-learning""},{""text"":""computer-vision"",""url"":""https://github.com/topics/computer-vision""},{""text"":""deep-learning"",""url"":""https://github.com/topics/deep-learning""},{""text"":""metrics"",""url"":""https://github.com/topics/metrics""},{""text"":""tensorflow"",""url"":""https://github.com/topics/tensorflow""},{""text"":""image-processing"",""url"":""https://github.com/topics/image-processing""},{""text"":""pytorch"",""url"":""https://github.com/topics/pytorch""},{""text"":""video-processing"",""url"":""https://github.com/topics/video-processing""},{""text"":""yolo"",""url"":""https://github.com/topics/yolo""},{""text"":""classification"",""url"":""https://github.com/topics/classification""},{""text"":""coco"",""url"":""https://github.com/topics/coco""},{""text"":""object-detection"",""url"":""https://github.com/topics/object-detection""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""pascal-voc"",""url"":""https://github.com/topics/pascal-voc""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""instance-segmentation"",""url"":""https://github.com/topics/instance-segmentation""},{""text"":""oriented-bounding-box"",""url"":""https://github.com/topics/oriented-bounding-box""}]"
"refinedev/refinedev","refinedev","refinedev","A React Framework for building internal tools, admin panels, dashboards & B2B apps with unmatched flexibility.","33.7k","TypeScript","Dec 17, 2025, 10:41 AM GMT-5","https://github.com/refinedev/refinedev","https://github.com/refinedev","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""graphql"",""url"":""https://github.com/topics/graphql""},{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""nextjs"",""url"":""https://github.com/topics/nextjs""},{""text"":""headless"",""url"":""https://github.com/topics/headless""},{""text"":""developer-tools"",""url"":""https://github.com/topics/developer-tools""},{""text"":""admin-ui"",""url"":""https://github.com/topics/admin-ui""},{""text"":""react-framework"",""url"":""https://github.com/topics/react-framework""},{""text"":""frontend-framework"",""url"":""https://github.com/topics/frontend-framework""},{""text"":""open-source-project"",""url"":""https://github.com/topics/open-source-project""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""ant-design"",""url"":""https://github.com/topics/ant-design""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""nestjs"",""url"":""https://github.com/topics/nestjs""},{""text"":""good-first-issue"",""url"":""https://github.com/topics/good-first-issue""},{""text"":""react-hooks"",""url"":""https://github.com/topics/react-hooks""}]"
"Budibase/Budibase","Budibase","Budibase","Create business apps and automate workflows in minutes. Supports PostgreSQL, MySQL, MariaDB, MSSQL, MongoDB, Rest API, Docker, K8s, and more 🚀 No code / Low code platform..","27.5k","TypeScript","Dec 23, 2025, 7:05 AM GMT-5","https://github.com/Budibase/Budibase","https://github.com/Budibase","[{""text"":""open-source"",""url"":""https://github.com/topics/open-source""},{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""workflow-engine"",""url"":""https://github.com/topics/workflow-engine""},{""text"":""crud-application"",""url"":""https://github.com/topics/crud-application""},{""text"":""workflow-automation"",""url"":""https://github.com/topics/workflow-automation""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""rest-api-framework"",""url"":""https://github.com/topics/rest-api-framework""},{""text"":""crud-app"",""url"":""https://github.com/topics/crud-app""},{""text"":""no-code-platform"",""url"":""https://github.com/topics/no-code-platform""},{""text"":""data-apps"",""url"":""https://github.com/topics/data-apps""},{""text"":""low-code-platform"",""url"":""https://github.com/topics/low-code-platform""},{""text"":""ai-applications"",""url"":""https://github.com/topics/ai-applications""},{""text"":""data-application"",""url"":""https://github.com/topics/data-application""},{""text"":""workflow-apps"",""url"":""https://github.com/topics/workflow-apps""},{""text"":""low-code-no-code"",""url"":""https://github.com/topics/low-code-no-code""},{""text"":""sql-gui"",""url"":""https://github.com/topics/sql-gui""},{""text"":""ai-app-builder"",""url"":""https://github.com/topics/ai-app-builder""},{""text"":""it-workflows"",""url"":""https://github.com/topics/it-workflows""}]"
"kestra-io/kestra-io","kestra-io","kestra-io","Event Driven Orchestration & Scheduling Platform for Mission Critical Applications","26.1k","Java","Dec 26, 2025, 7:14 AM GMT-5","https://github.com/kestra-io/kestra-io","https://github.com/kestra-io","[{""text"":""java"",""url"":""https://github.com/topics/java""},{""text"":""workflow"",""url"":""https://github.com/topics/workflow""},{""text"":""devops"",""url"":""https://github.com/topics/devops""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""pipeline"",""url"":""https://github.com/topics/pipeline""},{""text"":""orchestration"",""url"":""https://github.com/topics/orchestration""},{""text"":""infrastructure-as-code"",""url"":""https://github.com/topics/infrastructure-as-code""},{""text"":""high-availability"",""url"":""https://github.com/topics/high-availability""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""pipeline-as-code"",""url"":""https://github.com/topics/pipeline-as-code""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""data-orchestration"",""url"":""https://github.com/topics/data-orchestration""}]"
"simstudioai/simstudioai","simstudioai","simstudioai","Open-source platform to build and deploy AI agent workflows.","24.5k","TypeScript","Dec 26, 2025, 5:06 AM GMT-5","https://github.com/simstudioai/simstudioai","https://github.com/simstudioai","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""automation"",""url"":""https://github.com/topics/automation""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""nextjs"",""url"":""https://github.com/topics/nextjs""},{""text"":""chatbot"",""url"":""https://github.com/topics/chatbot""},{""text"":""artificial-intelligence"",""url"":""https://github.com/topics/artificial-intelligence""},{""text"":""gemini"",""url"":""https://github.com/topics/gemini""},{""text"":""openai"",""url"":""https://github.com/topics/openai""},{""text"":""agents"",""url"":""https://github.com/topics/agents""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""rag"",""url"":""https://github.com/topics/rag""},{""text"":""anthropic"",""url"":""https://github.com/topics/anthropic""},{""text"":""deepseek"",""url"":""https://github.com/topics/deepseek""},{""text"":""aiagents"",""url"":""https://github.com/topics/aiagents""},{""text"":""agentic-workflow"",""url"":""https://github.com/topics/agentic-workflow""},{""text"":""agent-workflow"",""url"":""https://github.com/topics/agent-workflow""}]"
"onlook-dev/onlook-dev","onlook-dev","onlook-dev","The Cursor for Designers • An Open-Source AI-First Design tool • Visually build, style, and edit your React App with AI","23.6k","TypeScript","Dec 20, 2025, 5:31 AM GMT-5","https://github.com/onlook-dev/onlook-dev","https://github.com/onlook-dev","[{""text"":""react"",""url"":""https://github.com/topics/react""},{""text"":""editor"",""url"":""https://github.com/topics/editor""},{""text"":""design"",""url"":""https://github.com/topics/design""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""ui"",""url"":""https://github.com/topics/ui""},{""text"":""ai"",""url"":""https://github.com/topics/ai""},{""text"":""frontend"",""url"":""https://github.com/topics/frontend""},{""text"":""nextjs"",""url"":""https://github.com/topics/nextjs""},{""text"":""ide"",""url"":""https://github.com/topics/ide""},{""text"":""cursor"",""url"":""https://github.com/topics/cursor""},{""text"":""figma"",""url"":""https://github.com/topics/figma""},{""text"":""drizzle"",""url"":""https://github.com/topics/drizzle""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""tailwindcss"",""url"":""https://github.com/topics/tailwindcss""},{""text"":""design-to-code"",""url"":""https://github.com/topics/design-to-code""},{""text"":""supabase"",""url"":""https://github.com/topics/supabase""},{""text"":""cursor-ai"",""url"":""https://github.com/topics/cursor-ai""},{""text"":""vibe-coding"",""url"":""https://github.com/topics/vibe-coding""},{""text"":""vibecoding"",""url"":""https://github.com/topics/vibecoding""}]"
"node-red/node-red","node-red","node-red","Low-code programming for event-driven applications","22.5k","JavaScript","Dec 21, 2025, 2:37 PM GMT-5","https://github.com/node-red/node-red","https://github.com/node-red","[{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""node-red"",""url"":""https://github.com/topics/node-red""},{""text"":""flow-based-programming"",""url"":""https://github.com/topics/flow-based-programming""},{""text"":""visual-programming"",""url"":""https://github.com/topics/visual-programming""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""openjs-foundation"",""url"":""https://github.com/topics/openjs-foundation""}]"
"nocobase/nocobase","nocobase","nocobase","NocoBase is the most extensible AI-powered no-code/low-code platform for building business applications and enterprise solutions.","20.9k","TypeScript","Dec 26, 2025, 9:51 AM GMT-5","https://github.com/nocobase/nocobase","https://github.com/nocobase","[{""text"":""internal-tools"",""url"":""https://github.com/topics/internal-tools""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""erp"",""url"":""https://github.com/topics/erp""},{""text"":""crm"",""url"":""https://github.com/topics/crm""},{""text"":""admin-dashboard"",""url"":""https://github.com/topics/admin-dashboard""},{""text"":""self-hosted"",""url"":""https://github.com/topics/self-hosted""},{""text"":""web-application"",""url"":""https://github.com/topics/web-application""},{""text"":""project-management"",""url"":""https://github.com/topics/project-management""},{""text"":""salesforce"",""url"":""https://github.com/topics/salesforce""},{""text"":""developer-tools"",""url"":""https://github.com/topics/developer-tools""},{""text"":""airtable"",""url"":""https://github.com/topics/airtable""},{""text"":""workflows"",""url"":""https://github.com/topics/workflows""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""app-builder"",""url"":""https://github.com/topics/app-builder""},{""text"":""internal-tool"",""url"":""https://github.com/topics/internal-tool""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""no-code-platform"",""url"":""https://github.com/topics/no-code-platform""}]"
"teableio/teableio","teableio","teableio","✨ The Next Gen Airtable Alternative: No-Code Postgres","20.6k","TypeScript","Dec 26, 2025, 8:46 AM GMT-5","https://github.com/teableio/teableio","https://github.com/teableio","[{""text"":""postgres"",""url"":""https://github.com/topics/postgres""},{""text"":""database"",""url"":""https://github.com/topics/database""},{""text"":""sqlite"",""url"":""https://github.com/topics/sqlite""},{""text"":""realtime"",""url"":""https://github.com/topics/realtime""},{""text"":""postgresql"",""url"":""https://github.com/topics/postgresql""},{""text"":""spreadsheet"",""url"":""https://github.com/topics/spreadsheet""},{""text"":""airtable"",""url"":""https://github.com/topics/airtable""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""app-builder"",""url"":""https://github.com/topics/app-builder""},{""text"":""internal-tool"",""url"":""https://github.com/topics/internal-tool""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""airtable-alternative"",""url"":""https://github.com/topics/airtable-alternative""}]"
"baidu/baidu","baidu","baidu","前端低代码框架，通过 JSON 配置就能生成各种页面。","18.8k","TypeScript","Dec 25, 2025, 9:51 AM GMT-5","https://github.com/baidu/baidu","https://github.com/baidu","[{""text"":""json"",""url"":""https://github.com/topics/json""},{""text"":""admin"",""url"":""https://github.com/topics/admin""},{""text"":""frontend"",""url"":""https://github.com/topics/frontend""},{""text"":""frontend-framework"",""url"":""https://github.com/topics/frontend-framework""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""no-code"",""url"":""https://github.com/topics/no-code""},{""text"":""low-code-development-platform"",""url"":""https://github.com/topics/low-code-development-platform""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""}]"
"Tencent/Tencent","Tencent","Tencent","🏆 实时 零代码、全功能、强安全 ORM 库 🚀 后端接口和文档零代码，前端(客户端) 定制返回 JSON 的数据和结构 🏆 Real-Time coding-free, powerful and secure ORM 🚀 providing APIs and Docs without coding by Backend, and the returned JSON of API can be customized by Frontend(Client) users","18.4k","Java","Dec 20, 2025, 10:21 AM GMT-5","https://github.com/Tencent/Tencent","https://github.com/Tencent","[{""text"":""elasticsearch"",""url"":""https://github.com/topics/elasticsearch""},{""text"":""crud"",""url"":""https://github.com/topics/crud""},{""text"":""influxdb"",""url"":""https://github.com/topics/influxdb""},{""text"":""hive"",""url"":""https://github.com/topics/hive""},{""text"":""hadoop"",""url"":""https://github.com/topics/hadoop""},{""text"":""serverless"",""url"":""https://github.com/topics/serverless""},{""text"":""clickhouse"",""url"":""https://github.com/topics/clickhouse""},{""text"":""postgresql"",""url"":""https://github.com/topics/postgresql""},{""text"":""oracle"",""url"":""https://github.com/topics/oracle""},{""text"":""snowflake"",""url"":""https://github.com/topics/snowflake""},{""text"":""baas"",""url"":""https://github.com/topics/baas""},{""text"":""postgresql-database"",""url"":""https://github.com/topics/postgresql-database""},{""text"":""sqlserver"",""url"":""https://github.com/topics/sqlserver""},{""text"":""tidb"",""url"":""https://github.com/topics/tidb""},{""text"":""databricks"",""url"":""https://github.com/topics/databricks""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""nocode"",""url"":""https://github.com/topics/nocode""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""},{""text"":""milvus"",""url"":""https://github.com/topics/milvus""},{""text"":""tdengine"",""url"":""https://github.com/topics/tdengine""}]"
"amplication/amplication","amplication","amplication","Amplication brings order to the chaos of large-scale software development by creating Golden Paths for developers - streamlined workflows that drive consistency, enable high-quality code practices, simplify onboarding, and accelerate standardized delivery across teams.","16k","TypeScript","Dec 4, 2025, 12:06 PM GMT-5","https://github.com/amplication/amplication","https://github.com/amplication","[{""text"":""nodejs"",""url"":""https://github.com/topics/nodejs""},{""text"":""javascript"",""url"":""https://github.com/topics/javascript""},{""text"":""api"",""url"":""https://github.com/topics/api""},{""text"":""graphql"",""url"":""https://github.com/topics/graphql""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""web"",""url"":""https://github.com/topics/web""},{""text"":""csharp"",""url"":""https://github.com/topics/csharp""},{""text"":""dotnet"",""url"":""https://github.com/topics/dotnet""},{""text"":""dotnet-core"",""url"":""https://github.com/topics/dotnet-core""},{""text"":""code-generation"",""url"":""https://github.com/topics/code-generation""},{""text"":""hacktoberfest"",""url"":""https://github.com/topics/hacktoberfest""},{""text"":""csharp-code"",""url"":""https://github.com/topics/csharp-code""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""nestjs"",""url"":""https://github.com/topics/nestjs""},{""text"":""prisma"",""url"":""https://github.com/topics/prisma""}]"
"alibaba/alibaba","alibaba","alibaba","An enterprise-class low-code technology stack with scale-out design / 一套面向扩展设计的企业级低代码技术体系","15.8k","TypeScript","Mar 10, 2025, 4:37 AM GMT-5","https://github.com/alibaba/alibaba","https://github.com/alibaba","[{""text"":""alibaba"",""url"":""https://github.com/topics/alibaba""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""lowcode"",""url"":""https://github.com/topics/lowcode""}]"
"windmill-labs/windmill-labs","windmill-labs","windmill-labs","Open-source developer platform to power your entire infra and turn scripts into webhooks, workflows and UIs. Fastest workflow engine (13x vs Airflow). Open-source alternative to Retool and Temporal.","15.4k","HTML","Dec 26, 2025, 10:13 AM GMT-5","https://github.com/windmill-labs/windmill-labs","https://github.com/windmill-labs","[{""text"":""python"",""url"":""https://github.com/topics/python""},{""text"":""open-source"",""url"":""https://github.com/topics/open-source""},{""text"":""platform"",""url"":""https://github.com/topics/platform""},{""text"":""typescript"",""url"":""https://github.com/topics/typescript""},{""text"":""postgresql"",""url"":""https://github.com/topics/postgresql""},{""text"":""low-code"",""url"":""https://github.com/topics/low-code""},{""text"":""self-hostable"",""url"":""https://github.com/topics/self-hostable""}]"
